X,Y,speed,dir,AM_dir,QGIS_dir
718954.754853401,5189919.72735339,13.2,0,90,180
719355.814853401,5189919.72735339,13.5,2,92,182
719756.874853401,5189919.72735339,13.4,2,92,182
720157.934853401,5189919.72735339,12.9,360,90,180
720558.994853401,5189919.72735339,12.6,357,87,177
720960.054853401,5189919.72735339,12.6,356,86,176
721361.114853401,5189919.72735339,12.6,357,87,177
721762.174853401,5189919.72735339,12.6,357,87,177
722163.234853401,5189919.72735339,12.3,358,88,178
722564.294853401,5189919.72735339,12.1,358,88,178
722965.354853401,5189919.72735339,12.0,359,89,179
723366.414853401,5189919.72735339,11.8,360,90,180
723767.474853401,5189919.72735339,11.8,0,90,180
724168.534853401,5189919.72735339,11.7,1,91,181
724569.594853401,5189919.72735339,11.5,2,92,182
724970.654853401,5189919.72735339,11.4,3,93,183
725371.714853401,5189919.72735339,11.4,4,94,184
725772.774853401,5189919.72735339,11.4,4,94,184
726173.834853401,5189919.72735339,11.6,3,93,183
726574.894853401,5189919.72735339,12.0,3,93,183
726975.954853401,5189919.72735339,12.5,3,93,183
727377.014853401,5189919.72735339,12.5,3,93,183
727778.074853401,5189919.72735339,12.0,4,94,184
728179.134853401,5189919.72735339,11.4,5,95,185
728580.194853401,5189919.72735339,10.9,6,96,186
728981.254853401,5189919.72735339,10.7,6,96,186
729382.314853401,5189919.72735339,10.6,4,94,184
729783.374853401,5189919.72735339,10.3,1,91,181
730184.434853401,5189919.72735339,9.5,356,86,176
730585.494853401,5189919.72735339,8.9,352,82,172
730986.554853401,5189919.72735339,9.0,352,82,172
731387.614853401,5189919.72735339,9.0,353,83,173
731788.674853401,5189919.72735339,8.5,353,83,173
732189.734853401,5189919.72735339,8.0,353,83,173
732590.794853401,5189919.72735339,7.9,355,85,175
732991.854853401,5189919.72735339,8.3,359,89,179
733392.914853401,5189919.72735339,8.8,3,93,183
733793.974853401,5189919.72735339,9.0,4,94,184
734195.034853401,5189919.72735339,9.2,3,93,183
734596.094853401,5189919.72735339,9.7,2,92,182
734997.154853401,5189919.72735339,9.7,2,92,182
735398.214853401,5189919.72735339,10.2,355,85,175
735799.274853401,5189919.72735339,10.7,348,78,168
736200.334853401,5189919.72735339,11.1,346,76,166
736601.394853401,5189919.72735339,11.0,358,88,178
714944.154853401,5190320.78735339,12.8,21,111,201
715345.214853401,5190320.78735339,12.2,13,103,193
715746.274853401,5190320.78735339,12.7,1,91,181
716147.334853401,5190320.78735339,14.2,358,88,178
716548.394853401,5190320.78735339,15.6,358,88,178
716949.454853401,5190320.78735339,16.0,359,89,179
